title,video_len,views,date_time,video_link,thumbnail_link
"Guess the Output 27 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:30,4.5K views,2 years ago,https://www.youtube.com/watch?v=Tz2rcVj3P6E,https://i.ytimg.com/vi/Tz2rcVj3P6E/hqdefault.jpg
How to Become a Data Scientist in 2020 ?,7:40,21K views,2 years ago,https://www.youtube.com/watch?v=AkaL_bYAdV4,https://i.ytimg.com/vi/AkaL_bYAdV4/hqdefault.jpg
"Guess the Output 26 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:38,4.9K views,2 years ago,https://www.youtube.com/watch?v=3bcmtIMC9MA,https://i.ytimg.com/vi/3bcmtIMC9MA/hqdefault.jpg
DSA Self Paced (Course) | GeeksforGeeks,1:50,128K views,2 years ago,https://www.youtube.com/watch?v=JjVpBd17Yxo,https://i.ytimg.com/vi/JjVpBd17Yxo/hqdefault.jpg
Data in Machine Learning | GeeksforGeeks,12:19,2.2K views,2 years ago,https://www.youtube.com/watch?v=wtLMvxueXNY,https://i.ytimg.com/vi/wtLMvxueXNY/hqdefault.jpg
Longest path in a Directed Acyclic graph | Dynamic Programming | GeeksforGeeks,11:31,26K views,2 years ago,https://www.youtube.com/watch?v=YxF-x3imVFA,https://i.ytimg.com/vi/YxF-x3imVFA/hqdefault.jpg
"Guess the Output 25 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",4:29,4.9K views,2 years ago,https://www.youtube.com/watch?v=12gtFfNfI2Q,https://i.ytimg.com/vi/12gtFfNfI2Q/hqdefault.jpg
"Guess the Output 24 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:30,4.9K views,2 years ago,https://www.youtube.com/watch?v=FYnuumGTZ70,https://i.ytimg.com/vi/FYnuumGTZ70/hqdefault.jpg
Overview of Machine Learning | GeeksforGeeks,10:06,6.6K views,2 years ago,https://www.youtube.com/watch?v=xDqPFXbxIZo,https://i.ytimg.com/vi/xDqPFXbxIZo/hqdefault.jpg
"Guess the Output 23 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:32,5.5K views,2 years ago,https://www.youtube.com/watch?v=IfU8cFWGMP8,https://i.ytimg.com/vi/IfU8cFWGMP8/hqdefault.jpg
"Guess the Output 22 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",2:51,4.9K views,2 years ago,https://www.youtube.com/watch?v=01ovj-oC7Sk,https://i.ytimg.com/vi/01ovj-oC7Sk/hqdefault.jpg
Webinar | Live Courses | GeeksforGeeks,49:41,3.2K views,Streamed 2 years ago,https://www.youtube.com/watch?v=j2dQ95pyC1I,https://i.ytimg.com/vi/j2dQ95pyC1I/hqdefault.jpg
"Guess the Output 21 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",4:24,5.2K views,2 years ago,https://www.youtube.com/watch?v=WdpUagWj-CE,https://i.ytimg.com/vi/WdpUagWj-CE/hqdefault.jpg
"Guess the Output 20 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:23,5.5K views,2 years ago,https://www.youtube.com/watch?v=HdZAUQ_0VWY,https://i.ytimg.com/vi/HdZAUQ_0VWY/hqdefault.jpg
"Guess the Output 19 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",4:57,5.9K views,2 years ago,https://www.youtube.com/watch?v=iPXiVQbBn2M,https://i.ytimg.com/vi/iPXiVQbBn2M/hqdefault.jpg
"Guess the Output 18 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",7:12,6.3K views,2 years ago,https://www.youtube.com/watch?v=8zUYHWqkt4E,https://i.ytimg.com/vi/8zUYHWqkt4E/hqdefault.jpg
Calculating Time Complexity | New Examples | GeeksforGeeks,8:05,366K views,2 years ago,https://www.youtube.com/watch?v=KXAbAa1mieU,https://i.ytimg.com/vi/KXAbAa1mieU/hqdefault.jpg
Sliding Window Technique | GeeksforGeeks,2:11,36K views,2 years ago,https://www.youtube.com/watch?v=9-3BXsfrpbY,https://i.ytimg.com/vi/9-3BXsfrpbY/hqdefault.jpg
"Sort an Array of 0s, 1s and 2s | GeeksforGeeks",4:05,13K views,2 years ago,https://www.youtube.com/watch?v=LP6doGhSZ3M,https://i.ytimg.com/vi/LP6doGhSZ3M/hqdefault.jpg
Merge Two Sorted Arrays | GeeksforGeeks,3:02,17K views,2 years ago,https://www.youtube.com/watch?v=mfY-P4srlpo,https://i.ytimg.com/vi/mfY-P4srlpo/hqdefault.jpg
Cycle Sort | GeeksforGeeks,2:27,11K views,2 years ago,https://www.youtube.com/watch?v=gZNOM_yMdSQ,https://i.ytimg.com/vi/gZNOM_yMdSQ/hqdefault.jpg
